Name,ID,Category,Classifier,Unique Matches,Total Matches,Wiz Url,Projects,Resource Name,Region,Created At,Resource Type,Resource Native Type,Resource External ID,Subscription ID,Cloud Provider,Encryption At Rest,Encryption In Transit,Resource Status,PaaS,Severity,Finding Examples
Financial/Credit Card Verification (CVV) Number,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##BUILTIN-176,DataCategoryFinancial,Credit Card Verification (CVV) Number,28,29,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'c3f4b1ee-66df-5fe9-ad75-9f6011729cb7*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-05-20T15:15:16.46973Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,MEDIUM,"[{""path"":""sample-data.csv"",""key"":""cvc"",""value"":""***"",""evidenceId"":""a1196375d27b8186a916ea0b0b37b7c0"",""contentSizeBytes"":4750}]"
PII/Name,wiz-attack-simulation-bucket-560579d9##BUILTIN-125,DataCategoryPII,Name,37,37,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'c63f09e4-fb17-583c-8f17-9aea1959d153*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",wiz-attack-simulation-bucket-560579d9,eu-central-1,2024-04-04T22:26:32.889113Z,CloudPlatform/Bucket,bucket,wiz-attack-simulation-bucket-560579d9,984186218765,AWS,true,false,Active,false,HIGH,"[{""path"":""dummy_data.txt"",""key"":""first_name/last_name"",""value"":""Os***d *****n"",""evidenceId"":""7c6e752b64af9167fc5de7a5d5fc0290"",""contentSizeBytes"":79062}]"
PII/Income,models-training-backup##BUILTIN-188,DataCategoryPII,Income,2,10,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'87feda4a-3536-529b-bd5e-7900d1d0781d*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",models-training-backup,us-east-2,2024-07-31T23:47:53.518634Z,CloudPlatform/Bucket,bucket,models-training-backup,001791986277,AWS,true,false,Active,false,MEDIUM,"[{""path"":""malicious-models/binbin/vocab.json"",""key"":""income"",""location"":""/income"",""value"":""1***9"",""evidenceId"":""d28af97d6b85df70719c070080ce2302"",""contentSizeBytes"":1042301},{""path"":""malicious-models/calc/vocab.json"",""key"":""income"",""location"":""/income"",""value"":""1***9"",""evidenceId"":""40f11bceac9e865bdbcbed051be7f598"",""contentSizeBytes"":1042301},{""path"":""malicious-models/dropper/vocab.json"",""key"":""income"",""location"":""/income"",""value"":""1***9"",""evidenceId"":""213f8182f2e5f3f31d4ac7f7135bded8"",""contentSizeBytes"":1042301},{""path"":""malicious-models/metasploit/vocab.json"",""key"":""income"",""location"":""/income"",""value"":""1***9"",""evidenceId"":""a387516a4a6ebd099638991b4f486370"",""contentSizeBytes"":1042301},{""path"":""malicious-models/xmrig/vocab.json"",""key"":""income"",""location"":""/income"",""value"":""1***9"",""evidenceId"":""d4fe20a62e2ccd5f84072de1a8a09d83"",""contentSizeBytes"":1042301},{""path"":""malicious-models/binbin/vocab.json"",""key"":""wage"",""location"":""/wage"",""value"":""2***2"",""evidenceId"":""d28af97d6b85df70719c070080ce2302"",""contentSizeBytes"":1042301},{""path"":""malicious-models/calc/vocab.json"",""key"":""wage"",""location"":""/wage"",""value"":""2***2"",""evidenceId"":""40f11bceac9e865bdbcbed051be7f598"",""contentSizeBytes"":1042301},{""path"":""malicious-models/dropper/vocab.json"",""key"":""wage"",""location"":""/wage"",""value"":""2***2"",""evidenceId"":""213f8182f2e5f3f31d4ac7f7135bded8"",""contentSizeBytes"":1042301},{""path"":""malicious-models/metasploit/vocab.json"",""key"":""wage"",""location"":""/wage"",""value"":""2***2"",""evidenceId"":""a387516a4a6ebd099638991b4f486370"",""contentSizeBytes"":1042301},{""path"":""malicious-models/xmrig/vocab.json"",""key"":""wage"",""location"":""/wage"",""value"":""2***2"",""evidenceId"":""d4fe20a62e2ccd5f84072de1a8a09d83"",""contentSizeBytes"":1042301}]"
PII/Name,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##BUILTIN-125,DataCategoryPII,Name,21,21,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'44777196-6333-574c-900e-22eac77924f1*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-04-09T11:12:53.115585Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,HIGH,"[{""path"":""sample-data.csv"",""key"":""first name/last name"",""value"":""Vi***r *******r"",""evidenceId"":""7a7adab4b13cbe0aed316caf308a9428"",""contentSizeBytes"":4750}]"
DigitalIdentity/Social Media Profiles,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##BUILTIN-439,DataCategoryDigitalIdentity,Social Media Profiles,9,9,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'6060acae-cf77-514d-98b6-02afd220916d*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-04-09T11:12:53.025822Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,INFO,"[{""path"":""dataset-4198513737964978176/preprocessed_example/6049932096112164864/1682344176537824450/text.txt"",""key"":""Instagram profile"",""value"":""t***"",""evidenceId"":""f42636e2fb31afd43ecf864e21c7a3f5"",""contentSizeBytes"":167}]"
GDPR - Personal Sensitive test1,data##1eaf09f5-6005-eb92-ce71-c46aaae4405c##17,DataCategoryPII,BUILTIN-69,0,0,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'3dd0ee96-a10f-5385-b7f9-2aab7aa240af*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",Res-Mongo,eu-central-1,2023-10-05T15:25:47.641026Z,CloudPlatform/VirtualMachine,virtualMachine,i-0abc0e43bf5a03d55,984186218765,AWS,false,false,Active,false,CRITICAL,null
PII/Income,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##BUILTIN-188,DataCategoryPII,Income,288,289,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'3747aff9-14e0-5622-b679-b79c7cd3b345*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2023-08-19T01:03:43.88772Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,CRITICAL,"[{""path"":""persons.public.personsrecords"",""key"":""Salary"",""location"":""Salary"",""value"":""9***9"",""evidenceId"":""2642640f3360583bf8484a0d182428f5""}]"
PII/Gender,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##BUILTIN-20,DataCategoryPII,Gender,3,30,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'5f26d637-ca8e-5b46-8356-cf4af2c87090*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-04-09T11:12:53.085903Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,INFO,"[{""path"":""sample-data.csv"",""key"":""gender"",""value"":""*"",""evidenceId"":""f0913e385c7a4dc71a88f640674c4036"",""contentSizeBytes"":4750}]"
PII/Name,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.storage/storageaccounts/credsaccount/blobservices/default/containers/credsinternalcontainer##BUILTIN-125,DataCategoryPII,Name,857,1728,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'2eead197-6f6b-5828-885c-b44d0060808b*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 07302e19-c82e-597d-a244-98a3593af8f2, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 5fd222f8-1ade-5642-b00b-b7374982353c, 9b55555a-89b7-55d8-8e38-0f7481b5f537, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, d43fb6e5-e66c-57b5-aec5-67b235678f57, e2e96170-bf20-5bb4-94c6-177b506a8b83",credsinternalcontainer,westeurope,2024-04-09T17:29:28.983661Z,CloudPlatform/Bucket,Microsoft.Storage/storageAccounts/blobServices/containers,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.storage/storageaccounts/credsaccount/blobservices/default/containers/credsinternalcontainer,fee3535b-9616-486f-a476-6a500a08a02b,Azure,true,true,Active,false,CRITICAL,"[{""path"":""userdata1.csv"",""key"":""first_name/last_name"",""value"":""Aa*** B****y"",""evidenceId"":""144aa95a9aced66f85a995bc24f50d3c"",""contentSizeBytes"":145923},{""path"":""userdata1.parquet"",""key"":""First_name/Last_name"",""value"":""Am***a *****n"",""evidenceId"":""0b3b23c4331d06a4fc66f01eed63f5ca""},{""path"":""userdata1.csv"",""key"":""first_name/last_name"",""value"":""Wi***e *****r"",""evidenceId"":""144aa95a9aced66f85a995bc24f50d3c"",""contentSizeBytes"":145923}]"
PII/Date of Birth,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.storage/storageaccounts/paymentinfo/blobservices/default/containers/creditinfo##BUILTIN-130,DataCategoryPII,Date of Birth,1305,2997,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'ff1b9cd2-f3cf-50da-95b6-e312aa6e5ad2*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 07302e19-c82e-597d-a244-98a3593af8f2, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 5fd222f8-1ade-5642-b00b-b7374982353c, 9b55555a-89b7-55d8-8e38-0f7481b5f537, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, d43fb6e5-e66c-57b5-aec5-67b235678f57, e2e96170-bf20-5bb4-94c6-177b506a8b83",creditinfo,canadacentral,2024-04-23T20:00:02.645655Z,CloudPlatform/Bucket,Microsoft.Storage/storageAccounts/blobServices/containers,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.storage/storageaccounts/paymentinfo/blobservices/default/containers/creditinfo,fee3535b-9616-486f-a476-6a500a08a02b,Azure,true,true,Active,false,MEDIUM,"[{""path"":""5000 Records.zip-\u003e5000 Records (1).csv"",""key"":""Date of Birth"",""value"":""3/**/***6"",""evidenceId"":""ea5301eeaa6fd25cf5ff46de0ed3625d"",""contentSizeBytes"":1387554},{""path"":""employee_purchase_data_dspm.csv"",""key"":""Date of Birth"",""value"":""5/**/***4"",""evidenceId"":""2d6c059459a4375e1404d6dc3f2e1047"",""contentSizeBytes"":597105},{""path"":""employee_purchase_data_dspm.zip-\u003eemployee_purchase_data_dspm.csv"",""key"":""Date of Birth"",""value"":""5/**/***4"",""evidenceId"":""42509337d89d2a3dc247808e33dd9463"",""contentSizeBytes"":597105},{""path"":""5000 Records.zip-\u003e5000 Records (1).csv"",""key"":""Date of Birth"",""value"":""12**1****1"",""evidenceId"":""ea5301eeaa6fd25cf5ff46de0ed3625d"",""contentSizeBytes"":1387554}]"
PII/Name,acme-prod-env:bq_userdata_1##BUILTIN-125,DataCategoryPII,Name,1,2,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'39b187a3-3c64-520f-8ba3-26e16064803c*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",acme-prod-env:bq_userdata_1,us,2024-08-05T23:06:10.061397Z,CloudPlatform/DBServer,bigquery#dataset,acme-prod-env:bq_userdata_1,acme-prod-env,GCP,true,false,Active,true,INFO,"[{""path"":""user_data_table"",""key"":""username"",""value"":""d****n"",""evidenceId"":""71f0191912a10d6a7c68cfe657bdf447""}]"
PII/Address,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##BUILTIN-126,DataCategoryPII,Address,23,23,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'40a9b665-6c37-5b7c-a466-d51571ad70e3*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-07-23T00:58:45.938915Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,MEDIUM,"[{""path"":""sample-data.csv"",""key"":""address"",""value"":""78***ee**...**ue (20 chars)"",""evidenceId"":""a3212e1f14523624ee4c40fe12f0e9fa"",""contentSizeBytes"":4750}]"
PII/Email,file-pfLx0GazsLc6my2Nd8cjkCqM##BUILTIN-1,DataCategoryPII,Email,21,21,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'db211bd5-505f-5e79-b3e6-5730b4ce1d2c*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train3.jsonl,,2024-03-19T10:40:26.952536Z,CloudPlatform/AiDataset,openai#file,file-pfLx0GazsLc6my2Nd8cjkCqM,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,HIGH,"[{""path"":""train3.jsonl"",""key"":""prompt"",""value"":""l***@wiz.com"",""evidenceId"":""91dbe902b3fff0ee529c9755d7d59256"",""contentSizeBytes"":12372}]"
PII/Email,file-5pnOmvEfHtkkUeroHEyJcRAe##BUILTIN-1,DataCategoryPII,Email,104,104,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'2ebbba1c-22cb-5006-8dd5-050d2a78d59a*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train3.jsonl,,2024-01-10T15:21:19.986296Z,CloudPlatform/AiDataset,openai#file,file-5pnOmvEfHtkkUeroHEyJcRAe,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,CRITICAL,"[{""path"":""train3.jsonl"",""key"":""prompt"",""value"":""l***@wiz.com"",""evidenceId"":""ab2a365b4e591573dbad285613b52fd3"",""contentSizeBytes"":12192}]"
PII/Email,file-EnxheUGJ2IANOB346vvMqufP##BUILTIN-1,DataCategoryPII,Email,102,102,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'6a101293-4e8f-5740-bb6a-4140f6a2bb3a*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train3.jsonl,,2024-01-10T15:21:20.023808Z,CloudPlatform/AiDataset,openai#file,file-EnxheUGJ2IANOB346vvMqufP,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,CRITICAL,"[{""path"":""train3.jsonl"",""key"":""prompt"",""value"":""l***@wiz.com"",""evidenceId"":""d90b674451346afb095076b9edb33ad0"",""contentSizeBytes"":11985}]"
PII/Order ID,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##BUILTIN-456,DataCategoryPII,Order ID,421,421,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'2a531a77-8bd1-5c45-9d78-7439ccf2c7e0*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2024-08-22T01:49:53.395685Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,INFO,"[{""path"":""sales.public.sales_records"",""key"":""Order ID"",""location"":""Order ID"",""value"":""98**6***9"",""evidenceId"":""9039d805fcc0130748bd3aac2d24eb13""}]"
PII/Name,arn:aws:lambda:eu-central-1:984186218765:function:Test_DB_query##BUILTIN-125,DataCategoryPII,Name,259,259,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'e391e904-7391-5218-82e4-18e4cb1ef61a*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",Test_DB_query,eu-central-1,2024-03-27T23:42:48.463807Z,CloudPlatform/Serverless,lambda,arn:aws:lambda:eu-central-1:984186218765:function:Test_DB_query,984186218765,AWS,false,false,Active,false,CRITICAL,"[{""path"":""/data.csv"",""key"":""first_name/last_name"",""value"":""Sh*** A***s"",""evidenceId"":""9df89ebddf378e2f37023458e135c4fc"",""contentSizeBytes"":38755}]"
Financial/Bank Name,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##BUILTIN-453,DataCategoryFinancial,Bank Name,2,31,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'37b38e5e-a240-5d6f-a158-d43d12452dcf*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2024-06-30T15:36:43.03944Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,MEDIUM,"[{""path"":""btrecords.public.cc_records"",""key"":""Wells Fargo"",""location"":""Issuing Bank"",""value"":""We*** F***o"",""evidenceId"":""aedf078d0007d347b204a512a083b505""}]"
PII/Email,file-zynDhJuQbChJOnEMwjMcItYR##BUILTIN-1,DataCategoryPII,Email,6,6,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'66310bd3-1b3e-5a7c-b24b-a9d14091a86e*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train3.jsonl,,2024-03-19T10:40:27.086142Z,CloudPlatform/AiDataset,openai#file,file-zynDhJuQbChJOnEMwjMcItYR,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,MEDIUM,"[{""path"":""train3.jsonl"",""key"":""prompt"",""value"":""l***@wiz.com"",""evidenceId"":""9ea45d63fdbf61c2b0cbae47db6e5557"",""contentSizeBytes"":2125}]"
PII/Name,s3-for-ai-training-test##BUILTIN-125,DataCategoryPII,Name,37,37,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'54d71b7a-3c7e-5f9d-9843-8b4fe3cd4863*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",s3-for-ai-training-test,us-east-1,2024-04-04T22:26:06.387912Z,CloudPlatform/Bucket,bucket,s3-for-ai-training-test,984186218765,AWS,true,false,Active,false,HIGH,"[{""path"":""dummy_data.txt"",""key"":""first_name/last_name"",""value"":""Os***d *****n"",""evidenceId"":""05d1fb7758a0926b14ac78fb75ea5854"",""contentSizeBytes"":79062}]"
PII/Email,file-443snXHuLUQrJY8cjgDidi2q##BUILTIN-1,DataCategoryPII,Email,105,106,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'a96078fa-88b2-5208-9434-e55e2db27821*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train.jsonl,,2024-01-11T10:43:56.433823Z,CloudPlatform/AiDataset,openai#file,file-443snXHuLUQrJY8cjgDidi2q,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,CRITICAL,"[{""path"":""train.jsonl"",""key"":""prompt"",""value"":""n***@wiz.com"",""evidenceId"":""f27364e4b8a5ef3e0e74fede8fa36720"",""contentSizeBytes"":12776}]"
PII/Email,file-xPRFuodcLFwOJ7tr06sAgLEO##BUILTIN-1,DataCategoryPII,Email,105,106,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'1af1cc0a-0149-519e-8316-e82d9afc4d20*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train.jsonl,,2024-01-11T10:43:56.525712Z,CloudPlatform/AiDataset,openai#file,file-xPRFuodcLFwOJ7tr06sAgLEO,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,CRITICAL,"[{""path"":""train.jsonl"",""key"":""prompt"",""value"":""n***@wiz.com"",""evidenceId"":""dfc84e57cb65254c2f3d4afe0395dc16"",""contentSizeBytes"":12776}]"
PII/Email,file-d9S7z4xsUOxvIkNUtASFPktl##BUILTIN-1,DataCategoryPII,Email,105,106,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'b4536fd0-8b0a-5e4a-b389-45771de1d13f*2cDATA_FINDING)),b561e19e-0f08-5717-8730-bac1c1f8f52a,train.jsonl,,2024-01-11T10:43:56.645035Z,CloudPlatform/AiDataset,openai#file,file-d9S7z4xsUOxvIkNUtASFPktl,org-gPc8sNS7RaAReGyFRIwkIRkg,OpenAI,false,false,,false,CRITICAL,"[{""path"":""train.jsonl"",""key"":""prompt"",""value"":""n***@wiz.com"",""evidenceId"":""1d4130796d650f2f008a19c828ae9aa4"",""contentSizeBytes"":12776}]"
